Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1994:Q1,Next 9%,34.5,32,27.4,21.5,36.6,38.2,30.6,33.4,16.5,18.2,7.9,29.2
1994:Q1,Next 40%,35.4,37.1,47.3,41.9,16.3,49.1,19.6,30.2,47.1,51.9,35.3,26.2
1994:Q1,Bottom 50%,4.1,8,14.2,22.7,1.6,4.1,1.7,5.4,32.1,25.8,55.5,24
1994:Q2,Top 1%,26.1,23,11.2,13.9,45.7,8.7,47.5,31.6,4.3,4.1,1.3,20.5
1994:Q2,Next 9%,34.5,31.9,27.1,21.3,36.7,38.4,31.6,32.7,16.2,18.1,7.5,27.2
1994:Q2,Next 40%,35.4,37,47.5,41.7,16,48.7,19.1,30.2,46.8,51.4,35.8,26.4
1994:Q2,Bottom 50%,4,8.1,14.2,23,1.6,4.2,1.8,5.5,32.8,26.4,55.4,25.9
1994:Q3,Top 1%,26.3,23.2,11.2,14,46.4,8.7,48,32,4.3,4.2,1.3,20.7
1994:Q3,Next 9%,34.3,31.7,26.5,21.1,36.3,38.6,31.6,32.3,16,18.2,7.1,24.5
1994:Q3,Next 40%,35.5,36.9,47.9,41.6,15.7,48.5,18.5,30.2,45.7,49.7,36.5,26.6
1994:Q3,Bottom 50%,3.9,8.1,14.3,23.3,1.6,4.3,1.8,5.5,34.1,27.9,55.1,28.2
1994:Q4,Top 1%,26.6,23.4,11.4,13.9,46.9,8.4,47.7,32.9,4.3,4.2,1.4,19.3
1994:Q4,Next 9%,34.3,31.6,26,21.1,36.1,39.3,32.2,31.9,15.8,18.2,6.4,25.1
1994:Q4,Next 40%,35.5,36.8,48.5,41.5,15.5,48,18.2,29.7,45,48.5,38.1,26.5
1994:Q4,Bottom 50%,3.6,8.1,14,23.5,1.6,4.3,1.9,5.5,34.9,29.1,54.2,29.1
1995:Q1,Top 1%,27.2,24,11.3,14.3,48.3,8.7,49.1,33,4.3,4.3,1.2,19.6
1995:Q1,Next 9%,34,31.4,25.9,20.5,35.3,39.1,31.9,31.7,15.4,17.8,6.7,21.4
1995:Q1,Next 40%,35.1,36.5,48.5,41.3,14.9,47.8,17.2,29.7,44.9,48.6,36.8,27
1995:Q1,Bottom 50%,3.6,8.2,14.2,23.9,1.5,4.5,1.9,5.6,35.5,29.3,55.3,32
1995:Q2,Top 1%,27.7,24.3,10.5,14.3,49.6,8.7,51.1,33.5,4.3,4.4,1.1,19.1
1995:Q2,Next 9%,33.7,31,25.8,20.4,34.4,39,30.7,31.2,15.1,17.6,6.8,19.2
1995:Q2,Next 40%,34.9,36.1,48.1,41.3,14.5,47.8,16.4,29.7,43.7,46.9,37,27.5
1995:Q2,Bottom 50%,3.8,8.5,15.7,24.1,1.5,4.5,1.8,5.6,36.9,31.1,55.1,34.2
1995:Q3,Top 1%,28.4,24.9,9.7,14.4,50.9,8.8,53.4,34.3,4.3,4.5,1,17.4
1995:Q3,Next 9%,33.2,30.7,25.8,20.1,33.4,38.8,29.1,30.8,15.1,17.6,6.7,20.1
1995:Q3,Next 40%,34.6,35.7,47.7,41.2,14.2,47.9,15.8,29.1,42.4,45,37.5,27.6
1995:Q3,Bottom 50%,3.8,8.7,16.8,24.2,1.5,4.5,1.7,5.7,38.3,32.9,54.8,34.9
1995:Q4,Top 1%,28.4,25,10.1,14.3,50.2,9,52.3,34.1,4.5,4.6,1.2,19.7
1995:Q4,Next 9%,33.5,30.8,25.8,20.4,33.9,38.4,30.1,30.9,14.8,17.5,6.6,18.7
1995:Q4,Next 40%,34.2,35.6,47.4,41.4,14.5,48,16,29.5,44.3,47.3,38.7,28.5
1995:Q4,Bottom 50%,4,8.6,16.7,24,1.5,4.6,1.7,5.5,36.4,30.6,53.5,33.1
1996:Q1,Top 1%,28.2,24.9,10.3,14.2,49.3,9.1,51.5,33.8,4.6,4.7,1.2,19.2
1996:Q1,Next 9%,33.7,31,26.1,20.5,34.3,38.2,30.6,31.2,15.2,17.2,7.2,25.1
1996:Q1,Next 40%,33.9,35.5,47,41.4,14.9,48.2,16.2,29.5,45.6,49.6,37.5,27.7
1996:Q1,Bottom 50%,4.2,8.5,16.6,23.9,1.5,4.5,1.7,5.4,34.7,28.5,54.1,28
1996:Q2,Top 1%,28.1,24.7,10.8,13.8,48.7,9.1,50.4,33.4,4.7,4.7,1.2,20.6
1996:Q2,Next 9%,33.8,31.2,25.7,20.9,34.6,38.2,31.4,31.5,15.5,17.7,7.3,24.9
1996:Q2,Next 40%,34.1,35.7,47.5,41.6,15.2,48.2,16.4,29.7,45.6,49.5,37.8,28.5
1996:Q2,Bottom 50%,4,8.3,16.1,23.6,1.5,4.5,1.8,5.4,34.3,28.1,53.6,26
1996:Q3,Top 1%,27.7,24.4,11,13.5,47.8,9.2,49.2,33.2,4.8,4.7,1.3,22
1996:Q3,Next 9%,33.9,31.3,25.6,21.3,35,38.1,32.2,31.4,15.7,18,7.3,24.6
1996:Q3,Next 40%,34.4,36.1,47.7,41.8,15.7,48.2,16.7,30.2,45.7,49.5,38.1,29.1
1996:Q3,Bottom 50%,3.9,8.2,15.7,23.4,1.5,4.5,1.9,5.3,33.9,27.7,53.2,24.2
1996:Q4,Top 1%,27.9,24.6,11.2,13.6,47.6,9.6,49.2,32.8,4.8,4.8,1.3,22.9
1996:Q4,Next 9%,34,31.4,26,21.2,35,37.6,32.5,31.6,15.6,17.8,7.6,26.2
1996:Q4,Next 40%,34.1,36,47.4,41.9,15.9,48.3,16.4,30.4,47.1,51.5,38.5,29.3
